rrf_k,protect_top,variant,avg_recall,avg_ndcg,avg_valid_recall,avg_valid_ndcg
35.0,4,q25_alpha_transfer_tuned,0.24945329270578467,0.13968822819107363,0.8495339375791993,0.5028176295064406
35.0,4,q25_sum,0.25165562342194814,0.13980915367557434,0.8444759256055923,0.5008972412065146
35.0,4,q25_valid_r_plus_2n,0.25165562342194814,0.13982415270111243,0.8443615589961884,0.5009740107240377
35.0,4,q30_50_20_sum,0.2512466231565887,0.13971094516584304,0.8446347907502836,0.5009839186883032
35.0,4,q30_sum,0.2519172463860169,0.13988993588962303,0.8442936962494786,0.5010394804550182
35.0,5,q20_sum,0.25152783800473266,0.13956022078615885,0.8446347907502836,0.5004386572270199
35.0,5,q25_alpha_transfer_tuned,0.24840007448213208,0.13918336764955838,0.8495339375791993,0.5023129935468676
35.0,5,q25_sum,0.2519368382700921,0.13964287873284145,0.8444759256055923,0.5003684236859565
35.0,5,q25_valid_r_plus_2n,0.2519368382700921,0.13965503868202553,0.8443615589961884,0.500429161754224
35.0,5,q30_50_20_sum,0.25152783800473266,0.13956022078615885,0.8446347907502836,0.5004386572270199
35.0,5,q30_sum,0.2521984612341609,0.1397544568183408,0.8442936962494786,0.5004463770174131
35.0,6,q20_sum,0.2512466231565887,0.13929716122323038,0.8446347907502836,0.5000674153607533
35.0,6,q25_alpha_transfer_tuned,0.24840007448213208,0.13894086563536517,0.8495339375791993,0.5018352069859685
35.0,6,q25_sum,0.25165562342194814,0.13940851956053785,0.8444759256055923,0.5000338473713282
35.0,6,q25_valid_r_plus_2n,0.25165562342194814,0.13940851956053785,0.8444759256055923,0.5000338473713282
35.0,6,q30_50_20_sum,0.2512466231565887,0.13929716122323038,0.8446347907502836,0.5000674153607533
35.0,6,q30_sum,0.2519172463860169,0.13949110113190025,0.8444080628588825,0.49996405542966016
