rrf_k,protect_top,city,variant,recall,ndcg,valid_recall,valid_ndcg
35.0,4,Tokyo,q25_valid_r_plus_2n,0.12942370617852525,0.0752850142630314,0.7864250116909497,0.452409411843131
35.0,5,Tokyo,q30_sum,0.13074948014209448,0.0756248374098088,0.7861535607041107,0.4519410739477934
35.0,5,Tokyo,q20_sum,0.13060461188699002,0.07548609085044193,0.7870604722697153,0.45220331246798345
35.0,5,Tokyo,q25_sum,0.13054856557110117,0.07547685535730907,0.7864250116909497,0.4520012168002107
35.0,5,Tokyo,q30_50_20_sum,0.13060461188699002,0.07548609085044193,0.7870604722697153,0.45220331246798345
35.0,5,Tokyo,q25_alpha_transfer_tuned,0.13206181610009973,0.076090333177,0.7940787064245319,0.4544191877645517
35.0,5,Tokyo,q25_valid_r_plus_2n,0.13054856557110117,0.07547685535730907,0.7864250116909497,0.4520012168002107
35.0,6,Tokyo,q30_sum,0.12962462074951855,0.0753535028079936,0.7861535607041107,0.451477160102973
35.0,6,Tokyo,q20_sum,0.1294797524944141,0.07524814678895489,0.7870604722697153,0.45172394550873035
35.0,6,Tokyo,q25_sum,0.12942370617852525,0.07522253971704025,0.7864250116909497,0.45150666050203764
35.0,6,Tokyo,q30_50_20_sum,0.1294797524944141,0.07524814678895489,0.7870604722697153,0.45172394550873035
35.0,6,Tokyo,q25_alpha_transfer_tuned,0.13206181610009973,0.07609210030580305,0.7940787064245319,0.45385603603072905
35.0,6,Tokyo,q25_valid_r_plus_2n,0.12942370617852525,0.07522253971704025,0.7864250116909497,0.45150666050203764
