rrf_k,protect_top,city,variant,recall,ndcg,valid_recall,valid_ndcg
30.0,6,Tokyo,q25_alpha_transfer_tuned,0.13156091280392082,0.07603901163394286,0.7938767353006865,0.45365315794226246
30.0,6,Tokyo,q25_valid_r_plus_2n,0.13225653152302816,0.07622483298694573,0.7860325847339841,0.45152537885610744
35.0,4,Chicago,q30_sum,0.24446614200155892,0.1491687653430353,0.8603856732891179,0.5312517706604056
35.0,4,Chicago,q20_sum,0.24425508248277464,0.14904545744911427,0.8603856732891179,0.5313464524010235
35.0,4,Chicago,q25_sum,0.24425508248277464,0.14904545744911427,0.8603856732891179,0.5312899929606296
35.0,4,Chicago,q30_50_20_sum,0.24425508248277464,0.14904545744911427,0.8603856732891179,0.5313464524010235
35.0,4,Chicago,q25_alpha_transfer_tuned,0.2394007135507358,0.148684503810779,0.8603856732891179,0.5320167215706084
35.0,4,Chicago,q25_valid_r_plus_2n,0.24425508248277464,0.14904545744911427,0.8603856732891179,0.5312899929606296
35.0,5,Chicago,q30_sum,0.24446614200155892,0.14901254018989432,0.8603856732891179,0.5307881610286405
35.0,5,Chicago,q20_sum,0.24425508248277464,0.1488529879267089,0.8603856732891179,0.5309371701387376
35.0,5,Chicago,q25_sum,0.24425508248277464,0.1488529879267089,0.8603856732891179,0.5308296600384098
35.0,5,Chicago,q30_50_20_sum,0.24425508248277464,0.1488529879267089,0.8603856732891179,0.5309371701387376
35.0,5,Chicago,q25_alpha_transfer_tuned,0.2394007135507358,0.1484133456985451,0.8603856732891179,0.5313456359417983
35.0,5,Chicago,q25_valid_r_plus_2n,0.24425508248277464,0.1488529879267089,0.8603856732891179,0.5308296600384098
35.0,6,Chicago,q30_sum,0.24446614200155892,0.14886258082196924,0.8603856732891179,0.5304164011240863
35.0,6,Chicago,q20_sum,0.24425508248277464,0.14877783453335516,0.8603856732891179,0.5304267525183686
35.0,6,Chicago,q25_sum,0.24425508248277464,0.14874641795557908,0.8603856732891179,0.5304300507782362
35.0,6,Chicago,q30_50_20_sum,0.24425508248277464,0.14877783453335516,0.8603856732891179,0.5304267525183686
35.0,6,Chicago,q25_alpha_transfer_tuned,0.2394007135507358,0.14831699556786926,0.8603856732891179,0.5308559254519174
35.0,6,Chicago,q25_valid_r_plus_2n,0.24425508248277464,0.14874641795557908,0.8603856732891179,0.5304300507782362
35.0,4,NYC,q30_sum,0.16702946533591978,0.08894012478038585,0.903944598547286,0.5352459435994147
